title,cuisine,meal_type,servings,prepTime,cookingTime,difficulty,calories,image,description,dietary_tags,ingredients,instructions
Mohinga (Rice Noodle & Fish Broth),Myanmar,breakfast,4,25,50,Hard,,,"Myanmar’s iconic fish broth with rice noodles, thickened lightly and finished with fresh toppings.","[""pescatarian""]","[{""name"":""Rice vermicelli noodles"",""amount"":""600 g""},{""name"":""Fish (catfish or firm white fish)"",""amount"":""400 g""},{""name"":""Onion"",""amount"":""1 large, sliced""},{""name"":""Garlic"",""amount"":""6 cloves""},{""name"":""Ginger"",""amount"":""2-inch piece""},{""name"":""Lemongrass"",""amount"":""2 stalks, bruised""},{""name"":""Banana stem (optional)"",""amount"":""1 cup, thinly sliced""},{""name"":""Toasted rice flour"",""amount"":""3 tbsp""},{""name"":""Turmeric"",""amount"":""1 tsp""},{""name"":""Fish sauce"",""amount"":""2–3 tbsp""},{""name"":""Chickpea flour (optional)"",""amount"":""1–2 tbsp""},{""name"":""Boiled eggs"",""amount"":""4""},{""name"":""Cilantro"",""amount"":""1 handful""},{""name"":""Lime"",""amount"":""1–2""}]","[""Simmer fish with lemongrass and a pinch of salt until cooked. Lift fish out, cool, then flake and remove bones."",""In a pot, sauté onion, garlic, ginger, and turmeric until fragrant. Add banana stem if using and cook until slightly softened."",""Pour in the fish simmering liquid (strain if you want it smooth). Add flaked fish back to the pot."",""Whisk toasted rice flour with a little broth, then stir into the pot to lightly thicken. Simmer 10–15 minutes, stirring occasionally."",""Season with fish sauce and lime to balance. If you want it thicker, whisk in chickpea flour mixed with water and simmer briefly."",""Serve over rice noodles. Top with egg, cilantro, extra lime, and optional chili oil.""]"
Laphet Thoke (Tea Leaf Salad),Myanmar,salad,4,20,0,Easy,,,"A bright, crunchy salad built around fermented tea leaves and a mix of nuts, beans, and aromatics.","[]","[{""name"":""Fermented tea leaves (laphet)"",""amount"":""4–5 tbsp""},{""name"":""Cabbage"",""amount"":""2 cups, shredded""},{""name"":""Tomato"",""amount"":""1 cup, diced""},{""name"":""Roasted peanuts"",""amount"":""1/2 cup""},{""name"":""Fried beans (or roasted chickpeas)"",""amount"":""1/2 cup""},{""name"":""Toasted sesame seeds"",""amount"":""2 tbsp""},{""name"":""Fried garlic chips"",""amount"":""2 tbsp""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce (or soy sauce)"",""amount"":""1–2 tbsp""},{""name"":""Neutral oil"",""amount"":""1 tbsp""},{""name"":""Green chili (optional)"",""amount"":""1, sliced""}]","[""In a bowl, loosen the tea leaves with oil and a squeeze of lime so they distribute evenly."",""Add cabbage and tomato. Toss gently so the tea leaves coat the vegetables."",""Season with fish sauce (or soy) and adjust acidity with more lime."",""Fold in peanuts, beans, sesame, and garlic chips right before serving to keep them crunchy."",""Finish with sliced chili if you like heat.""]"
Ohn No Khao Swe (Coconut Chicken Noodles),Myanmar,dinner,4,20,35,Medium,,,"Creamy coconut chicken noodle soup, comforting and aromatic with garlic, onion, and warm spices.","[]","[{""name"":""Egg noodles"",""amount"":""500 g""},{""name"":""Chicken thigh"",""amount"":""500 g, bite-size""},{""name"":""Onion"",""amount"":""1 large, diced""},{""name"":""Garlic"",""amount"":""5 cloves""},{""name"":""Ginger"",""amount"":""1.5-inch piece""},{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Chicken stock or water"",""amount"":""700 ml""},{""name"":""Turmeric"",""amount"":""1 tsp""},{""name"":""Paprika or chili powder"",""amount"":""1/2 tsp""},{""name"":""Fish sauce"",""amount"":""2 tbsp""},{""name"":""Lime"",""amount"":""1""},{""name"":""Cilantro"",""amount"":""1 handful""}]","[""Sauté onion, garlic, and ginger until soft. Stir in turmeric and paprika."",""Add chicken and cook until lightly browned."",""Pour in stock and coconut milk. Simmer until chicken is tender and broth tastes rich."",""Season with fish sauce and a squeeze of lime."",""Cook noodles separately, then serve noodles topped with the coconut chicken broth and cilantro.""]"
Shan Noodles (Rice Noodles with Tomato-Chicken Sauce),Myanmar,dinner,4,20,30,Medium,,,Silky rice noodles tossed with a savory tomato-based sauce and topped with crunchy aromatics.,"[]","[{""name"":""Rice noodles"",""amount"":""600 g""},{""name"":""Chicken mince"",""amount"":""300 g""},{""name"":""Tomato"",""amount"":""3 medium, chopped""},{""name"":""Onion"",""amount"":""1 medium""},{""name"":""Garlic"",""amount"":""5 cloves""},{""name"":""Soy sauce"",""amount"":""1–2 tbsp""},{""name"":""Fish sauce"",""amount"":""1 tbsp""},{""name"":""Paprika or chili flakes"",""amount"":""1/2 tsp""},{""name"":""Neutral oil"",""amount"":""2 tbsp""},{""name"":""Cilantro"",""amount"":""1 handful""},{""name"":""Fried garlic or shallots"",""amount"":""2 tbsp""}]","[""Blend or finely chop tomato, onion, and garlic. Cook with oil until it reduces into a thick sauce."",""Add chicken mince and break it up. Simmer until cooked through and the sauce is glossy."",""Season with soy, fish sauce, and chili to taste."",""Cook rice noodles and drain. Toss with the sauce and a splash of hot water if needed."",""Serve topped with cilantro and fried garlic/shallots.""]"
Nan Gyi Thoke (Thick Rice Noodle Salad),Myanmar,dinner,4,25,20,Medium,,,A hearty noodle salad with warm chicken gravy-style dressing and fresh toppings.,"[]","[{""name"":""Thick rice noodles"",""amount"":""600 g""},{""name"":""Chicken (shredded)"",""amount"":""350 g""},{""name"":""Chickpea flour"",""amount"":""3 tbsp""},{""name"":""Turmeric"",""amount"":""1 tsp""},{""name"":""Onion"",""amount"":""1 medium""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Fish sauce"",""amount"":""1–2 tbsp""},{""name"":""Lime"",""amount"":""1""},{""name"":""Cilantro"",""amount"":""1 handful""},{""name"":""Boiled eggs"",""amount"":""2–4""}]","[""Sauté onion and garlic until fragrant. Stir in turmeric."",""Add shredded chicken and a cup of water or stock. Simmer 5 minutes."",""Whisk chickpea flour with water, then stir into the pot to make a light gravy. Simmer until slightly thick."",""Cook noodles and rinse briefly. Toss noodles with the warm chicken dressing."",""Finish with fish sauce and lime. Top with cilantro and egg.""]"
Burmese Tofu Thoke (Chickpea Tofu Salad),Myanmar,salad,4,15,0,Easy,,,Soft chickpea tofu tossed with tangy dressing and crunchy toppings.,"[""vegetarian"",""gluten-free""]","[{""name"":""Chickpea tofu (shan tofu)"",""amount"":""400 g, cubed""},{""name"":""Cucumber"",""amount"":""1 cup, sliced""},{""name"":""Tomato"",""amount"":""1 cup, diced""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Soy sauce"",""amount"":""1–2 tbsp""},{""name"":""Garlic"",""amount"":""2 cloves, grated""},{""name"":""Chili flakes"",""amount"":""to taste""},{""name"":""Roasted peanuts"",""amount"":""1/3 cup""},{""name"":""Cilantro"",""amount"":""1 handful""}]","[""Whisk lime, soy sauce, garlic, and chili into a punchy dressing."",""Toss tofu, cucumber, and tomato with the dressing gently so tofu stays intact."",""Top with peanuts and cilantro and serve chilled.""]"
Hta-Min Thoke (Rice Salad),Myanmar,lunch,4,15,0,Easy,,,Cold rice salad with a savory-tangy dressing and crunchy add-ins; great for using leftover rice.,"[]","[{""name"":""Cooked rice (cooled)"",""amount"":""4 cups""},{""name"":""Onion"",""amount"":""1/2 cup, thinly sliced""},{""name"":""Tomato"",""amount"":""1 cup, diced""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce (or soy sauce)"",""amount"":""1–2 tbsp""},{""name"":""Roasted peanuts"",""amount"":""1/3 cup""},{""name"":""Sesame seeds"",""amount"":""1 tbsp""},{""name"":""Cilantro"",""amount"":""1 handful""}]","[""Fluff cooled rice so grains separate."",""Mix lime juice with fish sauce (or soy). Pour over rice and toss."",""Fold in onion and tomato, then top with peanuts, sesame, and cilantro."",""Adjust saltiness and sourness to taste.""]"
Kyay Oh (Clear Pork & Noodle Soup),Myanmar,dinner,4,25,35,Medium,,,"A clean, peppery noodle soup with pork meatballs and greens.","[]","[{""name"":""Rice noodles or wheat noodles"",""amount"":""500 g""},{""name"":""Minced pork"",""amount"":""400 g""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""White pepper"",""amount"":""1 tsp""},{""name"":""Fish sauce"",""amount"":""2 tbsp""},{""name"":""Chicken stock"",""amount"":""1.5 L""},{""name"":""Leafy greens (bok choy)"",""amount"":""2 cups""},{""name"":""Scallions"",""amount"":""2, chopped""}]","[""Mix minced pork with grated garlic, white pepper, and a pinch of salt. Form small meatballs."",""Bring stock to a gentle simmer and cook meatballs until they float and are cooked through."",""Season broth with fish sauce and extra pepper to taste."",""Cook noodles separately. Add greens to broth for 1–2 minutes to wilt."",""Serve noodles in bowls, ladle broth, meatballs, greens, and top with scallions.""]"
Balachaung Fried Rice (Shrimp Chili Floss),Myanmar,lunch,3,15,15,Easy,,,Quick fried rice boosted with spicy-savory balachaung; ideal for a fast meal.,"[]","[{""name"":""Cooked rice (day-old)"",""amount"":""3 cups""},{""name"":""Balachaung"",""amount"":""2–3 tbsp""},{""name"":""Eggs"",""amount"":""2""},{""name"":""Garlic"",""amount"":""3 cloves""},{""name"":""Soy sauce"",""amount"":""1 tbsp""},{""name"":""Scallions"",""amount"":""2, chopped""},{""name"":""Oil"",""amount"":""2 tbsp""}]","[""Sauté garlic in oil briefly, then scramble eggs in the same pan and set aside."",""Add rice and stir-fry until hot and separated."",""Stir in balachaung and soy sauce; mix evenly."",""Fold back in eggs and finish with scallions.""]"
Burmese Curry Chicken (Hin),Myanmar,dinner,4,15,45,Medium,,,"A rich, slow-cooked curry where oil separates slightly at the end—classic Myanmar curry style.","[]","[{""name"":""Chicken pieces"",""amount"":""800 g""},{""name"":""Onion"",""amount"":""2 medium, sliced""},{""name"":""Garlic"",""amount"":""6 cloves""},{""name"":""Ginger"",""amount"":""2-inch piece""},{""name"":""Turmeric"",""amount"":""1 tsp""},{""name"":""Curry powder"",""amount"":""1–2 tbsp""},{""name"":""Fish sauce"",""amount"":""2 tbsp""},{""name"":""Oil"",""amount"":""4 tbsp""},{""name"":""Water"",""amount"":""1 cup""}]","[""Blend onion, garlic, and ginger to a coarse paste."",""Cook the paste in oil over medium heat until it darkens slightly and smells sweet."",""Stir in turmeric and curry powder, then add chicken and coat well."",""Add water, cover, and simmer until chicken is tender. Stir occasionally so it doesn’t stick."",""Season with fish sauce. Simmer uncovered the last 5–10 minutes until the curry looks glossy.""]"
